Filename	Segment label	F1.50	F2.50	F3.50	F1.25	F2.25	F3.25	F1.75	F2.75	F3.75
s00102	k	1313.6198512894796	2091.5646383615804	3675.0368988266796	205.91091279293107	1501.115108983409	2340.963521146057	568.108837429246	1274.913026757515	2082.151797812509
s00102	o	369.3878705448084	898.1665472939069	2472.647734035197	404.10512221759586	956.5959041392482	2481.309671139781	338.309992935868	943.3916005802068	2591.3378028737584
s00102	p	403.54812268828374	914.8667161908568	2678.761189825481	411.1718502696818	985.4903011790017	2703.7749186918104	722.0975716985229	1351.7188075459544	2019.9626756117154
s00102	a	566.5656647093115	1376.1456753664077	2149.781899631014	517.5477502588366	1211.0412423442037	2168.846079928117	567.4401128522098	1455.2622305020261	2175.7030599498844
s00102	r(	447.4549585491936	1561.7253310216045	2190.731284560712	471.08291161387757	1478.3514849434132	2113.7996248487725	434.7955744021508	1643.2946091907963	2266.319271947498
s00102	e	360.78404677765	1564.4025856959877	2325.675829450473	395.610821406734	1571.091212990227	2314.393025771083	293.62440702436606	1553.1223916502072	2313.032177344339
s00102	l	247.90493829017453	1387.3369311595686	2450.9193942515094	238.85687674073162	1457.4739837417899	2176.8639947046813	224.88458363601026	1278.4883189938164	2445.1187192447205
s00102	m	225.8330441895885	1127.343127772094	2695.096164988186	226.07101956231992	1129.2671420086099	2658.267993048769	232.87116202904258	1173.4630222173435	2727.9963238008545
s00102	u	475.3227992872182	1022.0706143185187	2778.2972623171436	539.3481056322313	1084.9130328789092	2715.9989088565426	359.1705690240135	974.4409103453244	2764.646809547062
s00102	n	227.90886351171295	1199.3045437953863	2763.689786330719	236.35360680569417	1222.5118894608431	2798.831289354576	214.71469950450194	1125.1132275825225	2751.222683299394
s00102	d	214.319842380592	1364.3783276444237	2656.3599430268837	217.32696097271784	1197.4263202713498	2674.2955639956494	238.2357731707876	1389.0941937477924	2670.895568644687
s00102	o	814.2826236459749	2042.190993073339	3148.937221662269	311.2044743318375	1072.0571452907966	2599.481156262655	955.7935203688847	2233.871913295255	3157.677350834381
s00102	.sil	756.1784495291772	1733.7650560421769	2847.4916502127985	877.9421805985265	1768.5252392081989	2872.3718260287624	--undefined--	--undefined--	--undefined--
s00103	i	231.7541999865662	2205.5159470345666	2900.1442684462854	174.55934757030974	2205.345632614916	2798.723937098942	238.89240500515848	2246.9969497821207	2957.290226172601
s00103	s	2093.234247958424	2841.1653382641566	3686.7033534547495	2100.870851676939	2819.504815452204	3764.703585803518	2106.05736229098	2826.614677458296	3620.147008141239
s00103	i	275.63534845013277	1968.5941154601444	2556.9796214126372	263.03846932446527	2129.3980794589106	2773.056003460147	266.98867000198663	1632.3279262066305	2343.3511412589273
s00103	n	255.014007892284	1548.557729789045	2436.9091584779594	244.75140805029199	1528.0187206995388	2421.1262482538154	256.07798848172956	1601.9863965260759	2465.333373760045
s00103	e	373.3683645241766	1660.525749254656	2305.559819822502	348.4984916448671	1676.2235497131865	2369.2548852980785	364.03109472357244	1586.3356800816177	2312.196419565914
s00103	m	232.70666111850656	1329.2649012019515	2098.495507839553	240.0645927913566	1295.0083220401295	2139.8954984772035	237.47863072431744	1190.4774891533252	2097.3909121787287
s00103	b	218.2234057514139	1107.1477462272978	2204.4305632911573	227.79187611967734	1079.1837609293004	2168.046001847549	392.25605341950876	1228.0316145023673	2322.5167348700334
s00103	a	619.6845294901755	1252.176738839591	2266.5931457262695	568.3512982589355	1279.316719533952	2288.6199519124766	646.1391663584529	1459.2546755681187	2273.250769778622
s00103	r(	478.4314470240722	1498.8407065194729	2421.2247854866864	484.1058152129658	1443.1167834026708	2352.0284039960943	425.42834330631473	1357.2540185773971	2374.5969478221496
s00103	g	361.20192786043816	1030.8991284601698	2479.4882388397027	330.01467965639716	1156.9524291588257	2359.2421325862583	385.44523535248504	940.4824194717497	2438.272327742103
s00103	o	392.05869953431136	925.8269829434252	2716.499511903581	409.52399467471014	903.9724745908882	2548.8080059552703	292.86894775766785	986.8596673388297	2579.926756342924
s00103	.bn	781.7612089917869	1499.5069479742506	2842.612725295016	649.4206248074003	1293.1997114315311	2820.723003670304	1149.9544148602272	1575.6828298226578	2943.8895762518355
s00103	.sil	852.7350659217699	1952.6755458444115	3189.544793987593	1465.4144934398132	2671.0006360929247	3704.1330654325006	791.1506794726419	1762.9170950732978	3007.8746488432275
s00103	n	233.15879660232426	1440.1602773072923	2613.4731617518632	221.5916978516344	1490.220614692256	2586.7641866354406	250.8429995556145	1430.7387883298761	2665.5856707092844
s00103	o	540.7370770098379	1271.9227407421502	2685.6350930640265	508.03143620223943	1277.056811771194	2341.5651505205265	505.5449519220813	1335.0716153121732	2638.8308710367646
s00103	d	354.60288242093895	1391.4769794630097	2447.675018982696	394.618752837482	1338.1860896739088	2455.955552050967	356.7458045354744	1482.4397772621166	2390.6484269419707
s00103	e	386.71853187450233	1718.9667819746514	2562.8507945554397	417.7059774577653	1624.6143450298673	2500.187152138744	312.56268164276173	1708.7560745743847	2490.609197843084
s00103	x	458.78995427723527	1733.6718625146552	2539.8676440210734	443.0739882505467	1806.813505299486	2731.6811814905973	434.0218150884088	1667.856433318047	2681.131519292767
s00103	a	552.5335021117522	1627.9077940934656	2472.555692316626	563.0859868625527	1640.942989301951	2392.413217392824	532.5677458221466	1674.0580235206335	2454.747315776163
s00103	e	424.5459254575149	1693.5792562132187	2499.8731437689285	448.0200357371575	1690.748158323499	2328.0610855577856	393.04900303063056	1662.7612622005802	2540.869044254028
s00103	s	445.08513032406967	1844.1011921215063	3172.474050861805	401.3324186085228	1806.308881355954	3404.9262167961806	260.5301804823803	1818.7488340290383	2902.8802599128144
s00103	e	397.9514729432917	1548.82920934799	2279.586141618842	393.7538057784293	1597.8081526379844	2308.360116754732	394.89945129598453	1454.465242863736	2228.7735603844444
s00103	u	377.0650317397126	1155.9536315588648	2420.950708794047	367.61541831318897	1228.0359969160359	2320.038258509253	387.47381902030844	1163.7469376490926	2469.636956938721
s00103	n	270.47691264940534	1524.3597468175965	2544.975625750343	270.30930051268257	1423.1405785324844	2576.716530857342	257.7953445278733	1387.2961812169249	2011.6332695739716
s00103	a	423.0087911771994	1513.4106230719472	2361.3770923095267	448.0375178024083	1539.0993508948527	2139.9328406200466	460.4492013719248	1415.3407115411778	2325.6944838548593
s00103	k	410.6938902982379	1630.3626434192643	3112.4719841531896	414.4574160004532	1597.2856911529973	2364.8167712525765	556.6398376416221	1145.1943941894444	2649.803133626874
s00103	u	410.122049487992	1345.4749595606754	2162.272116982602	399.99675699353594	1218.681984041321	2252.376428792434	383.326193479913	1405.8541664685868	2195.192188784068
s00103	s	608.0616745810729	1879.5083909033485	3154.799390752341	1004.5163247548709	2209.7594674250026	3216.8298749972037	388.44099743619256	1709.9141220652136	2822.665876257636
s00103	t	491.4458877663926	2087.9483152633825	3376.9935286382265	371.0629298849255	1715.3371943708378	2966.0817579827462	1870.1022744637394	2656.9167134000727	3601.4212191793085
s00103	i	353.61337400485934	1634.5708063595648	2348.175513924328	325.77965734703923	1640.393165319724	2367.9893929734817	379.6042777304837	1618.6214729409292	2330.9569099726427
s00103	o	415.2112616648547	1491.3048965709895	2339.87749742427	422.9860091262943	1500.8511535726234	2329.430470888586	387.27222996022124	1448.7080281932133	2421.1403605374035
s00103	n	284.7327397399192	1316.811672554336	2597.079015256446	337.9772800799751	1371.6124949704472	2666.1111448243646	285.4455268544432	1320.3835571838827	2571.7316429301272
s00103	m	394.1102646923618	1429.2400923025439	2724.160339867272	331.3035588095738	1399.3840683460248	2706.8171503507356	476.13662743962385	1351.234310668179	2756.947019710024
s00103	u	378.41382537289246	1083.1022731591959	2791.125059982056	385.7013415944422	892.5495490292	1831.7808274981262	347.34339839703455	1263.0687891564341	2480.3433692213553
s00103	i	265.47012245667764	2346.166366795258	2558.7121090834503	273.9607378637528	2149.819169287872	2495.271494637344	248.90986524650364	2374.3642042733172	2466.8692730085136
s00103	m	209.5173945220174	1256.314617516175	2574.5350208215664	240.08387628636106	1208.5344489094616	2494.828167176231	185.3678716414324	1140.1272817198274	2541.2641707835746
s00103	p	211.34584419353277	1440.8664696192066	2708.576670067652	225.08974629512886	1759.9315258413512	2885.581960472073	769.31158789183	1420.784934919478	3020.9577794634747
s00103	o	451.96004999848196	1017.1396306724708	2092.16975769807	429.730672224856	966.9332987629479	2194.33791747828	436.97083432901536	1051.014811786163	1901.7687650300159
s00103	r(	429.31625815210964	1208.0372018101655	2497.80024868293	490.38805819956065	1381.9720642392374	2659.259236756591	397.1879607293792	1162.776148413445	2390.7612170844895
s00103	t	204.65614501195523	1123.3002516651932	2694.8432333747764	394.1751026228819	1164.8738142811535	2570.578539428888	445.5849385649405	1864.2718145943609	2822.9820823062782
s00103	a	531.7013500448463	1516.689719436063	2583.507065334466	513.130066956056	1380.771900761494	2574.4490437539775	438.8577088552946	1499.2681085350068	2684.3654131027693
s00103	n	210.52371110771878	1429.806694117478	2400.222163948625	239.7449987003566	1456.079598924372	2441.1681207740016	200.48409520218803	1528.4503159067315	2421.399590544127
s00103	t	1160.1236356165564	2002.486242145386	3369.7659216289353	200.43171977205876	1476.768806241279	2739.3341001745302	376.9007314924203	1626.5261716919506	2688.2160264478443
s00103	e	143.87190718990558	1918.2291594960884	2469.642371952561	154.30368159914028	1818.4920979739024	2388.165253786793	183.350451090734	1789.2372842175753	2452.309041790989
s00103	.sil	--undefined--	--undefined--	--undefined--	262.78831567928324	1943.8257331187303	2427.508902948768	--undefined--	--undefined--	--undefined--
s00104	e	297.65308163920514	1921.1014359452492	2432.7454159313465	286.8538803719919	2008.0574082035585	2363.6516311714227	347.2676281801857	1881.8601478892874	2446.419746879753
s00104	l	273.14555477304924	1780.3204104952715	2839.613287334969	280.9408509186932	1735.3713916295328	2790.6003829423244	263.8684189620483	1729.8960029592238	2853.078347516857
s00104	d	206.7217026888607	1625.8277170061183	2685.342033292258	207.28500327623325	1693.4859773024857	2746.2439386968426	242.22342818459293	1668.9021554819165	2678.9852436786264
s00104	e	382.2376261130301	1704.261730232738	2467.0931713584573	373.1776490973376	1685.5523322731465	2526.082185715696	391.96645301484955	1711.21704784506	2486.9704663075095
s00104	r(	368.3933540775968	1774.001601066093	2485.7366956616315	379.26321954796254	1618.3571751859704	2452.9764615478425	337.05798446143814	1629.4166094343248	2564.6000058785858
s00104	e	411.4463268116441	1863.635679347076	2538.8383427285353	431.5109525521829	1719.1278799160327	2412.75254186626	352.7935764659805	1901.1233828819743	2689.0502703079137
s00104	tS	406.7869377291826	2173.4435738736775	2842.6964782326	415.9326995895439	1684.0874557185161	3289.9355133794706	477.87402315991045	1846.5497852105657	2573.2841933489026
s00104	o	375.65723706124703	1430.2121882397792	2630.8847703125653	364.5378737249567	1468.6004042874351	2584.514628341911	357.02702253673255	1394.3200381448198	2673.2131992770605
s00104	d	345.76113034668043	1349.9009168417156	2637.764268905814	350.03811862297385	1342.1810563067556	2671.226902082726	344.58336148236924	1370.9780515502146	2658.819439106677
s00104	e	421.8264493110995	1502.8486532710058	2506.7885774354186	402.56426480676765	1431.3567055465276	2602.1533246964727	412.6404266644381	1557.4798543137897	2480.9818760281833
s00104	l	283.95391885432696	1770.4104269523598	2546.416982832285	303.6465285044144	1741.7894790948371	2533.896270690318	288.17743483574804	1630.7958817525578	2565.008037642981
s00104	a	478.4366423135386	1554.2971215851303	1985.946633941592	467.19431964267375	1568.5108560420695	2289.0129216263185	459.45691219927045	1399.3873924128413	2443.805842137369
s00104	u	403.2850406632635	681.5387944910193	1710.9479530432318	391.5488471955897	1245.8641097335992	1665.3239080166836	349.4258867851145	763.4466513725307	2096.815907899507
