is_stress,Area,Cutoff,Participant,Dom,avg_dur
1,3.9741241715597524,0.2,p122,biling,0.1222096985582836
0,3.2882459743871,0.2,p122,biling,0.1222096985582836
1,3.8380424693231587,0.25,p122,biling,0.1222096985582836
0,2.9912022379580145,0.25,p122,biling,0.1222096985582836
1,3.6887216700845933,0.3,p122,biling,0.1222096985582836
0,2.897249615049335,0.3,p122,biling,0.1222096985582836
1,2.8616150981891195,0.1,p123,L2,0.13162647907938832
0,2.742775356073049,0.1,p123,L2,0.13162647907938832
1,2.622370594841021,0.15,p123,L2,0.13162647907938832
0,2.452798681448189,0.15,p123,L2,0.13162647907938832
1,2.3654881763073123,0.2,p123,L2,0.13162647907938832
0,2.2168235868847774,0.2,p123,L2,0.13162647907938832
1,2.240118188862711,0.25,p123,L2,0.13162647907938832
0,1.980087195951907,0.25,p123,L2,0.13162647907938832
1,2.154127442140077,0.3,p123,L2,0.13162647907938832
0,1.8173934891972199,0.3,p123,L2,0.13162647907938832
1,2.855648506021105,0.1,p124,biling,0.11274599190693559
0,3.388554623163804,0.1,p124,biling,0.11274599190693559
1,2.563636181906338,0.15,p124,biling,0.11274599190693559
0,3.0069541610698716,0.15,p124,biling,0.11274599190693559
1,1.9236809366793808,0.2,p124,biling,0.11274599190693559
0,2.218651747150189,0.2,p124,biling,0.11274599190693559
1,1.6159283205576116,0.25,p124,biling,0.11274599190693559
0,1.9557107695050866,0.25,p124,biling,0.11274599190693559
1,1.2364819474170508,0.3,p124,biling,0.11274599190693559
0,1.741448088766182,0.3,p124,biling,0.11274599190693559
1,2.8286386565401624,0.1,p126,L2,0.16546522907031821
0,2.3225977541852516,0.1,p126,L2,0.16546522907031821
1,2.572949367866753,0.15,p126,L2,0.16546522907031821
0,1.968991641072776,0.15,p126,L2,0.16546522907031821
1,2.303350437980534,0.2,p126,L2,0.16546522907031821
0,1.6517460975999134,0.2,p126,L2,0.16546522907031821
1,1.953156038368953,0.25,p126,L2,0.16546522907031821
0,1.5222843704779068,0.25,p126,L2,0.16546522907031821
1,1.8234782642473897,0.3,p126,L2,0.16546522907031821
0,1.4013910431935015,0.3,p126,L2,0.16546522907031821
1,3.141754318886001,0.1,s001,mono,0.09027532635665303
0,3.1476314111491757,0.1,s001,mono,0.09027532635665303
1,2.8713241082893406,0.15,s001,mono,0.09027532635665303
0,2.954693655875106,0.15,s001,mono,0.09027532635665303
1,2.5908945605335645,0.2,s001,mono,0.09027532635665303
0,2.850842171903826,0.2,s001,mono,0.09027532635665303
1,2.3973038964770947,0.25,s001,mono,0.09027532635665303
0,2.7704639865510123,0.25,s001,mono,0.09027532635665303
1,2.2222213631105334,0.3,s001,mono,0.09027532635665303
0,2.5353255067289866,0.3,s001,mono,0.09027532635665303
1,3.598645607116476,0.1,s002,mono,0.07327772503666481
0,3.745237770717072,0.1,s002,mono,0.07327772503666481
1,3.272352718720578,0.15,s002,mono,0.07327772503666481
0,3.3268616673642843,0.15,s002,mono,0.07327772503666481
1,2.9513212404763736,0.2,s002,mono,0.07327772503666481
0,3.05474368935487,0.2,s002,mono,0.07327772503666481
1,2.7397443488647966,0.25,s002,mono,0.07327772503666481
0,2.7844693679518264,0.25,s002,mono,0.07327772503666481
1,2.3638970140594715,0.3,s002,mono,0.07327772503666481
0,2.4354236924727526,0.3,s002,mono,0.07327772503666481
1,3.7636731123037768,0.1,s051,mono,0.07819980383917279
0,3.590252372985611,0.1,s051,mono,0.07819980383917279
1,3.5442838593201413,0.15,s051,mono,0.07819980383917279
0,3.292309475352116,0.15,s051,mono,0.07819980383917279
1,3.350760073236635,0.2,s051,mono,0.07819980383917279
0,3.1060879551311267,0.2,s051,mono,0.07819980383917279
1,3.245300045869665,0.25,s051,mono,0.07819980383917279
0,3.0105430889154667,0.25,s051,mono,0.07819980383917279
1,3.148734150532139,0.3,s051,mono,0.07819980383917279
0,2.7481814399316047,0.3,s051,mono,0.07819980383917279
1,3.9167100407283093,0.1,s053,mono,0.07460849093013344
0,4.218273060369353,0.1,s053,mono,0.07460849093013344
1,3.6149940673497603,0.15,s053,mono,0.07460849093013344
0,4.04438355071285,0.15,s053,mono,0.07460849093013344
1,3.4009781114933957,0.2,s053,mono,0.07460849093013344
0,3.769742943227548,0.2,s053,mono,0.07460849093013344
1,3.2184843501064284,0.25,s053,mono,0.07460849093013344
0,3.4730444011048043,0.25,s053,mono,0.07460849093013344
1,2.913286655175324,0.3,s053,mono,0.07460849093013344
0,3.3603936919436177,0.3,s053,mono,0.07460849093013344
1,2.8503123394196104,0.1,s055,mono,0.08175019922760057
0,2.8519531450005444,0.1,s055,mono,0.08175019922760057
1,2.5310674957164996,0.15,s055,mono,0.08175019922760057
0,2.596008269358683,0.15,s055,mono,0.08175019922760057
1,2.331250769711328,0.2,s055,mono,0.08175019922760057
0,2.376644278093563,0.2,s055,mono,0.08175019922760057
1,2.1784900439398642,0.25,s055,mono,0.08175019922760057
0,2.2425208956889042,0.25,s055,mono,0.08175019922760057
1,2.0051729200947994,0.3,s055,mono,0.08175019922760057
0,2.119915704211803,0.3,s055,mono,0.08175019922760057
1,3.749666000266407,0.1,s056,mono,0.07684521919226493
0,3.782534708893877,0.1,s056,mono,0.07684521919226493
1,3.5732869683479573,0.15,s056,mono,0.07684521919226493
0,3.5491957808755403,0.15,s056,mono,0.07684521919226493
1,3.3910060436935368,0.2,s056,mono,0.07684521919226493
0,3.378881010736024,0.2,s056,mono,0.07684521919226493
1,2.844987788363107,0.25,s056,mono,0.07684521919226493
0,3.2245064627011266,0.25,s056,mono,0.07684521919226493
1,2.3420583638377166,0.3,s056,mono,0.07684521919226493
0,2.7894907318654734,0.3,s056,mono,0.07684521919226493
