is_stress,Area,Cutoff,Participant,Dom,avg_dur,Corpus
1,2.8503123394196104,0.1,s055,mono,0.0817501992276005,False
0,2.8519531450005444,0.1,s055,mono,0.0817501992276005,False
1,2.5310674957165,0.15,s055,mono,0.0817501992276005,False
0,2.596008269358683,0.15,s055,mono,0.0817501992276005,False
1,2.331250769711328,0.2,s055,mono,0.0817501992276005,False
0,2.376644278093563,0.2,s055,mono,0.0817501992276005,False
1,2.178490043939864,0.25,s055,mono,0.0817501992276005,False
0,2.242520895688904,0.25,s055,mono,0.0817501992276005,False
1,2.0051729200947994,0.3,s055,mono,0.0817501992276005,False
0,2.119915704211803,0.3,s055,mono,0.0817501992276005,False
1,3.749666000266407,0.1,s056,mono,0.0768452191922649,False
0,3.782534708893877,0.1,s056,mono,0.0768452191922649,False
1,3.5732869683479573,0.15,s056,mono,0.0768452191922649,False
0,3.5491957808755403,0.15,s056,mono,0.0768452191922649,False
1,3.3910060436935368,0.2,s056,mono,0.0768452191922649,False
0,3.378881010736024,0.2,s056,mono,0.0768452191922649,False
1,2.844987788363107,0.25,s056,mono,0.0768452191922649,False
0,3.2245064627011266,0.25,s056,mono,0.0768452191922649,False
1,2.3420583638377166,0.3,s056,mono,0.0768452191922649,False
0,2.7894907318654734,0.3,s056,mono,0.0768452191922649,False
